トピックID,タイトル,解説スコア,FCスコア,問題スコア,判定
tech-1-1-1,n進数,4,5,4,✅ 良好
tech-1-1-2,2進数の計算,5,5,5,✅ 良好
tech-1-1-3,集合と論理,5,5,4,✅ 良好
tech-1-1-4,論理回路,5,5,5,✅ 良好
tech-1-2-1,数値表現,5,5,4,✅ 良好
tech-1-2-2,誤差,5,5,4,✅ 良好
tech-1-2-3,確率と統計,5,5,5,✅ 良好
tech-1-3-1,データの表現,5,5,5,✅ 良好
tech-1-3-2,マルチメディア,5,5,4,✅ 良好
tech-1-3-3,符号化,5,4,4,✅ 良好
tech-1-4-1,伝送理論,5,4,4,✅ 良好
tech-1-4-2,誤り制御,5,5,5,✅ 良好
tech-2-1-1,プロセッサ（CPU）,5,5,3,✅ 良好
tech-2-1-2,メモリ,5,5,4,✅ 良好
tech-2-1-3,バスと入出力,5,5,3,✅ 良好
tech-2-2-1,システム構成,5,5,3,✅ 良好
tech-2-2-2,システムの性能,0,5,3,❌ 作り直し必須
tech-2-2-3,システムの信頼性,5,5,4,✅ 良好
tech-2-3-1,オペレーティングシステム（OS）,5,5,3,✅ 良好
tech-2-3-2,ジョブ管理,5,5,3,✅ 良好
tech-2-3-3,タスク管理,5,5,3,✅ 良好
tech-2-3-4,実記憶管理,4,3,2,⚠️ 改善推奨
tech-2-3-5,仮想記憶管理,4,3,3,⚠️ 改善推奨
tech-2-3-6,プログラムの性質,4,2,3,⚠️ 改善推奨
tech-2-4-1,補助記憶装置,2,3,2,❌ 作り直し必須
tech-2-4-2,入力装置,1,3,1,❌ 作り直し必須
tech-2-4-3,出力装置,1,3,1,❌ 作り直し必須
tech-3-1-1,ヒューマンインタフェース技術,1,3,1,❌ 作り直し必須
tech-3-1-2,入出力設計,1,2,1,❌ 作り直し必須
tech-3-2-1,マルチメディア技術,1,3,1,❌ 作り直し必須
tech-3-2-2,マルチメディア応用,2,1,1,❌ 作り直し必須
tech-3-3-1,データベース方式,2,3,1,❌ 作り直し必須
tech-3-3-2,データベース設計,2,3,2,❌ 作り直し必須
tech-3-3-3,データ操作,2,3,1,❌ 作り直し必須
tech-3-3-4,トランザクション処理,2,3,1,❌ 作り直し必須
tech-3-3-5,データベース応用,2,3,1,❌ 作り直し必須
tech-3-4-1,ネットワーク方式,2,3,1,❌ 作り直し必須
tech-3-4-2,ネットワーク機器,2,3,1,❌ 作り直し必須
tech-3-4-3,通信プロトコル,2,3,1,❌ 作り直し必須
tech-3-4-4,ネットワーク応用,2,3,1,❌ 作り直し必須
tech-3-5-1,情報セキュリティの基礎,2,3,2,❌ 作り直し必須
tech-3-5-2,脅威と対策,2,3,2,❌ 作り直し必須
